_,id,channel_id,channel_name,Standardized_Core_Stance_Label,Standardized_Outgroup_Target_Type,Standardized_Ingroup_Focus_Type_Label,Standardized_Emotional_Intensity_Label
Message,3059,1564682111,proudboysmdc,None of the Above,,,
Message,3066,1564682111,proudboysmdc,Outgroup Moral Condemnation,,,
Message,8596,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8597,1338122650,proud_goys,Ingroup Victimhood,,Political or Ideological Activism,
Message,8598,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8599,1338122650,proud_goys,None of the Above,,,
Message,8601,1338122650,proud_goys,None of the Above,,,
Message,8602,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8603,1338122650,proud_goys,Ingroup Heroism,,Political or Ideological Activism,
Message,8610,1338122650,proud_goys,None of the Above,,,
Message,8612,1338122650,proud_goys,Outgroup Hate,,,
Message,8617,1338122650,proud_goys,None of the Above,,,
Message,8620,1338122650,proud_goys,Ingroup Heroism,,Social or Ethnic Group,
Message,8622,1338122650,proud_goys,Outgroup Threat,,,
Message,8623,1338122650,proud_goys,None of the Above,,,
Message,8625,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8627,1338122650,proud_goys,None of the Above,,,
Message,8629,1338122650,proud_goys,Ingroup Heroism,,Social or Ethnic Group,
Message,8630,1338122650,proud_goys,Outgroup Hate,,,
Message,8632,1338122650,proud_goys,None of the Above,,,
Message,8634,1338122650,proud_goys,Outgroup Threat,,,
Message,8648,1338122650,proud_goys,Outgroup Threat,,,
Message,8649,1338122650,proud_goys,Outgroup Threat,,,
Message,8650,1338122650,proud_goys,Outgroup Threat,,,
Message,8651,1338122650,proud_goys,Ingroup Heroism,,Social or Ethnic Group,
Message,8652,1338122650,proud_goys,Ingroup Heroism,,Political or Ideological Activism,
Message,8654,1338122650,proud_goys,Outgroup Hate,,,
Message,8655,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8659,1338122650,proud_goys,Ingroup Heroism,,Political or Ideological Activism,
Message,8661,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8666,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8667,1338122650,proud_goys,Outgroup Threat,,,
Message,8670,1338122650,proud_goys,None of the Above,,,
Message,8671,1338122650,proud_goys,Ingroup Heroism,,Social or Ethnic Group,
Message,8673,1338122650,proud_goys,Outgroup Threat,,,
Message,8674,1338122650,proud_goys,Ingroup Heroism,,Political or Ideological Activism,
Message,8676,1338122650,proud_goys,None of the Above,,,
Message,8677,1338122650,proud_goys,Ingroup Heroism,,Social or Ethnic Group,
Message,8683,1338122650,proud_goys,Outgroup Moral Condemnation,,,
Message,8684,1338122650,proud_goys,None of the Above,,,
Message,8686,1338122650,proud_goys,Outgroup Hate,,,
Message,8687,1338122650,proud_goys,Ingroup Victimhood,,Social or Ethnic Group,
Message,8689,1338122650,proud_goys,None of the Above,,,
Message,8691,1338122650,proud_goys,Ingroup Heroism,,Unspecified ingroup focus,
Message,8694,1338122650,proud_goys,Outgroup Threat,,,
Message,8699,1338122650,proud_goys,Ingroup Victimhood,,Political or Ideological Activism,
Message,8700,1338122650,proud_goys,None of the Above,,,
Message,8705,1338122650,proud_goys,Ingroup Victimhood,,Political or Ideological Activism,
Message,8706,1338122650,proud_goys,None of the Above,,,
Message,8710,1338122650,proud_goys,None of the Above,,,
